BranchName,ApkVersion,GitName,ResourceConfigs,SignMode,ApkAreaVersion,MileStone,TranslationLabel,ReleaseDate,VersionCode,VersionName,BranchInfo,UploadAota,OfficialRelease,GoldenRelease
acuteag_dev_1.0.1,v1.0.1.0201.4,AcuteagSettings,platform,2018-04-19 18:41:53,I180419001,v1.0.1.0201.4_0419         
acuteag_dev_1.0.1,v1.0.1.0201.4,AcuteagPackageInstaller,platform,2018-04-19 19:31:02,I180419002,v1.0.1.0201.4_0419         
acuteag_dev_1.0.1,v1.0.1.0201.2,AcuteagTelephonyProvider,platform,2018-04-20 11:38:29,I180420001,v1.0.1.0201.2_0420         
acuteag_dev_1.0.1,v1.0.1.0101.3,AcuteagMms,platform,2018-04-20 11:39:42,I180420001,v1.0.1.0101.3_0420         
acuteag_dev_1.0.1,v1.0.1.0201.3,AcuteagGallery,media,2018-04-20 18:25:26,I180420006,v1.0.1.0201.3_0420         
acuteag_dev_1.0.1,v1.0.1.0201.5,AcuteagPackageInstaller,platform,2018-04-23 15:01:20,I180423002,v1.0.1.0201.5_0423         
acuteag_dev_1.0.1,v1.0.1.0101.4,AcuteagMms,platform,2018-04-23 18:13:46,I180423001,v1.0.1.0101.4_0423         
acuteag_dev_1.0.1,v1.0.1.0101.2,AcuteagReject,platform,2018-04-24 15:35:12,I180424001,v1.0.1.0101.2_0424         
acuteag_dev_1.0.1,v1.0.1.0101.2,AcuteagTelecomm,platform,2018-04-24 16:43:53,I180424001,v1.0.1.0101.2_0424         
acuteag_dev_1.0.1,v1.0.1.0201.3,AcuteagCalculator,releasekey,2018-04-24 17:18:25,I180424001,v1.0.1.0201.3_0424         
acuteag_dev_1.0.1,v1.0.1.0201.4,AcuteagGallery,media,2018-04-25 18:30:13,I180425001,v1.0.1.0201.4_0425         
acuteag_dev_1.0.1,v1.0.1.0201.3,AcuteagSystemUI,platform,2018-04-25 19:01:49,I180425001,v1.0.1.0201.3_0425         
acuteag_dev_1.0.1,v1.0.1.0201.5,AcuteagSettings,platform,2018-04-26 19:47:40,I180426001,v1.0.1.0201.5_0426         
acuteag_dev_1.0.1,v1.0.1.0201.2,AcuteagDeskClock,platform,2018-04-27 11:28:18,I180427001,v1.0.1.0201.2_0427         
acuteag_dev_1.0.1,v1.0.1.0101.3,AcuteagContacts,shared,2018-04-27 15:45:16,I180427001,v1.0.1.0101.3_0427         
acuteag_dev_1.0.1,v1.0.1.0201.6,AcuteagPackageInstaller,platform,2018-04-27 16:40:52,I180427001,v1.0.1.0201.6_0427         
acuteag_dev_1.0.1,v1.0.1.0101.5,AcuteagMms,platform,2018-04-27 16:50:57,I180427001,v1.0.1.0101.5_0427         
acuteag_dev_1.0.1,v1.0.1.0201.7,AcuteagPackageInstaller,platform,2018-04-28 13:18:41,I180428001,v1.0.1.0201.7_0428         
acuteag_dev_1.0.1,v1.0.1.0201.3,AcuteagDeskClock,platform,2018-04-28 13:18:49,I180428001,v1.0.1.0201.3_0428         
acuteag_dev_1.0.1,v1.0.1.0201.6,AcuteagSettings,platform,2018-04-28 18:18:44,I180428001,v1.0.1.0201.6_0428         
acuteag_dev_1.0.1,v1.0.1.0101.6,AcuteagMms,platform,2018-05-02 17:36:36,I180502001,v1.0.1.0101.6_0502         
acuteag_dev_1.0.1,v1.0.1.0201.8,AcuteagPackageInstaller,platform,2018-05-02 20:06:56,I180502004,v1.0.1.0201.8_0502         
acuteag_dev_1.0.1,v1.0.1.0101.4,AcuteagContacts,shared,2018-05-03 17:02:28,I180503002,v1.0.1.0101.4_0503         
acuteag_dev_1.0.1,v1.0.1.0101.4,AcuteagLauncher,shared,2018-05-03 17:03:13,I180503007,v1.0.1.0101.4_0503         
acuteag_dev_1.0.1,v1.0.1.0101.5,AcuteagLauncher,shared,2018-05-03 17:53:50,I180503008,v1.0.1.0101.5_0503         
acuteag_dev_1.0.1,v1.0.1.0101.3,AcuteagDialer,shared,2018-05-03 19:56:47,I180503001,v1.0.1.0101.3_0503         
acuteag_dev_1.0.1,v1.0.1.0201.4,AcuteagSystemUI,platform,2018-05-03 20:03:13,I180503001,v1.0.1.0201.4_0503         
acuteag_dev_1.0.1,v1.0.1.0201.5,AcuteagSystemUI,platform,2018-05-04 11:49:37,I180504001,v1.0.1.0201.5_0504         
acuteag_dev_1.0.1,v1.0.1.0201.4,AcuteagDeskClock,platform,2018-05-04 12:22:38,I180504001,v1.0.1.0201.4_0504         
acuteag_dev_1.0.1,v1.0.1.0201.1,AcuteagMusic,platform,2018-05-04 18:04:06,I180504003,v1.0.1.0201.1_0504         
acuteag_dev_1.0.1,v1.0.1.0201.2,AcuteagMusic,platform,2018-05-04 19:04:01,I180504004,v1.0.1.0201.2_0504         
acuteag_dev_1.0.1,v1.0.1.0101.6,AcuteagLauncher,shared,2018-05-04 19:07:26,I180504001,v1.0.1.0101.6_0504         
acuteag_dev_1.0.1,v1.0.1.0101.7,AcuteagMms,platform,2018-05-04 19:41:07,I180504001,v1.0.1.0101.7_0504         
acuteag_dev_1.0.1,v1.0.1.0201.3,AcuteagMusic,platform,2018-05-04 20:19:24,I180504004,v1.0.1.0201.3_0504         
acuteag_dev_1.0.1,v1.0.1.0101.7,AcuteagLauncher,shared,2018-05-05 10:00:29,I180505001,v1.0.1.0101.7_0505         
acuteag_dev_1.0.1,v1.0.1.0201.6,AcuteagSystemUI,platform,2018-05-07 16:31:43,I180507002,v1.0.1.0201.6_0507         
acuteag_dev_1.0.1,v1.0.1.0201.7,AcuteagSettings,platform,2018-05-07 18:30:44,I180507001,v1.0.1.0201.7_0507         
acuteag_dev_1.0.1,v1.0.1.0201.8,AcuteagGallery,shared,2018-05-07 19:22:38,I180507002,v1.0.1.0201.7         
acuteag_dev_1.0.1,v1.0.1.0101.8,AcuteagLauncher,shared,2018-05-07 20:08:53,I180507001,v1.0.1.0101.8_0507         
acuteag_dev_1.0.1,v1.0.1.0201.4,AcuteagMusic,platform,2018-05-07 20:46:58,I180507001,v1.0.1.0201.4_0507         
acuteag_dev_1.0.1,v1.0.1.0201.5,AcuteagDeskClock,platform,2018-05-08 14:53:55,I180508001,v1.0.1.0201.5_0508         
acuteag_dev_1.0.1,v1.0.1.0101.8,AcuteagMms,platform,2018-05-08 17:11:15,I180508001,v1.0.1.0101.8_0508         
acuteag_dev_1.0.1,v1.0.1.0201.5,AcuteagMusic,platform,2018-05-08 20:48:51,I180508001,v1.0.1.0201.5_0508         
acuteag_dev_1.0.1,v1.0.1.0201.9,AcuteagGallery,shared,2018-05-08 21:07:52,I180508001,v1.0.1.0201.9_0508         
acuteag_dev_1.0.1,v1.0.1.0201.3,AcuteagSoundRecorder,platform,2018-05-08 21:10:17,I180508001,v1.0.1.0201.3_0508         
acuteag_dev_1.0.1,v1.0.1.0201.7,AcuteagSystemUI,platform,2018-05-09 14:26:11,I180509001,v1.0.1.0201.7_0509         
acuteag_dev_1.0.1,v1.0.1.0101.9,AcuteagLauncher,shared,2018-05-09 16:50:18,I180509001,v1.0.1.0101.9_0509         
acuteag_dev_1.0.1,v1.0.1.0201.8,AcuteagSettings,platform,2018-05-09 18:19:36,I180509001,v1.0.1.0201.8_0509         
acuteag_dev_1.0.1,v1.0.1.0201.6,AcuteagMusic,platform,2018-05-09 18:34:51,I180509001,v1.0.1.0201.6_0509         
acuteag_dev_1.0.1,v1.0.1.0101.a,AcuteagLauncher,shared,2018-05-09 20:05:05,I180509002,v1.0.1.0101.a_0509         
acuteag_dev_1.0.1,v1.0.1.0201.9,AcuteagPackageInstaller,platform,2018-05-10 18:12:03,I180510001,v1.0.1.0201.9_0510         
acuteag_dev_1.0.1,v1.0.1.0201.9,AcuteagSettings,platform,2018-05-10 18:18:47,I180510001,v1.0.1.0201.9_0510         
acuteag_dev_1.0.1,v1.0.1.0101.3,AcuteagReject,platform,2018-05-10 18:31:54,I180510001,v1.0.1.0101.3_0510         
acuteag_dev_1.0.1,v1.0.1.0201.3,AcuteagTelephonyProvider,platform,2018-05-10 20:05:42,I180510001,v1.0.1.0201.3_0510         
acuteag_dev_1.0.1,v1.0.1.0101.a,AcuteagMms,platform,2018-05-10 20:32:43,I180510002,v1.0.1.0101.a_0510         
acuteag_dev_1.0.1,v1.0.1.0101.b,AcuteagLauncher,shared,2018-05-11 19:16:50,I180511001,v1.0.1.0101.b_0511         
acuteag_dev_1.0.1,v1.0.1.0201.7,AcuteagMusic,platform,2018-05-11 20:09:23,I180511001,v1.0.1.0201.7_0511         
acuteag_dev_1.0.1,v1.0.1.0101.4,AcuteagDialer,shared,2018-05-12 13:57:49,I180512001,v1.0.1.0101.4_0512         
acuteag_dev_1.0.1,v1.0.1.0101.3,AcuteagTelecomm,platform,2018-05-12 14:15:25,I180512001,v1.0.1.0101.3_0512         
acuteag_dev_1.0.1,v1.0.1.0201.6,AcuteagDeskClock,platform,2018-05-12 16:58:02,I180512001,v1.0.1.0201.6_0512         
acuteag_dev_1.0.1,v1.0.1.0201.8,AcuteagSystemUI,platform,2018-05-14 11:16:24,I180514001,v1.0.1.0201.8_0514         
acuteag_dev_1.0.1,v1.0.1.0101.3,AcuteagInCallUI,platform,2018-05-14 16:22:00,I180514001,v1.0.1.0101.3_0514         
acuteag_dev_1.0.1,v1.0.1.0201.a,AcuteagPackageInstaller,platform,2018-05-14 19:51:42,I180514001,v1.0.1.0201.a_0514         
acuteag_dev_1.0.1,v1.0.1.0101.c,AcuteagLauncher,shared,2018-05-14 20:15:41,I180514001,v1.0.1.0101.c_0514         
acuteag_dev_1.0.1,v1.0.1.0201.a,AcuteagGallery,shared,2018-05-14 21:04:58,I180514001,v1.0.1.0201.a_0514         
acuteag_dev_1.0.1,v1.0.1.0101.3,AcuteagFileManager,platform,2018-05-14 21:08:49,I180514001,v1.0.1.0101.3_0514         
acuteag_dev_1.0.1,v1.0.1.0101.4,AcuteagFileManager,platform,2018-05-14 21:23:59,I180514001,v1.0.1.0101.4_0514         
acuteag_dev_1.0.1,v1.0.1.0201.2,AcuteagCalendar,platform,2018-05-15 11:53:28,I180515001,v1.0.1.0201.2_0515         
acuteag_dev_1.0.1,v1.0.1.0101.b,AcuteagMms,platform,2018-05-15 15:00:16,I180515002,v1.0.1.0101.b_0515         
acuteag_dev_1.0.1,v1.0.1.0101.d,AcuteagLauncher,shared,2018-05-15 19:55:36,I180515002,v1.0.1.0101.d_0515         
acuteag_dev_1.0.1,v1.0.1.0201.3,AcuteagCalendar,platform,2018-05-16 17:02:09,I180516001,v1.0.1.0201.3_0516         
acuteag_dev_1.0.1,v1.0.1.0201.8,AcuteagMusic,platform,2018-05-16 17:54:23,I180516001,v1.0.1.0201.8_0516         
acuteag_dev_1.0.1,v1.0.1.0201.9,AcuteagMusic,platform,2018-05-16 19:59:53,I180516001,v1.0.1.0201.9_0516         
acuteag_dev_1.0.1,v1.0.1.0201.c,AcuteagGallery,shared,2018-05-16 20:12:29,I180516001,v1.0.1.0201.c_0516         
acuteag_dev_1.0.1,v1.0.1.0201.7,AcuteagDeskClock,platform,2018-05-16 20:24:26,I180516001,v1.0.1.0201.7_0516         
acuteag_dev_1.0.1,v1.0.1.0201.9,AcuteagSystemUI,platform,2018-05-18 11:52:21,I180518001,v1.0.1.0201.9_0518         
acuteag_dev_1.0.1,v1.0.1.0101.c,AcuteagMms,platform,2018-05-18 11:56:04,I180518001,v1.0.1.0101.c_0518         
acuteag_dev_1.0.1,v1.0.1.0101.e,AcuteagLauncher,shared,2018-05-18 17:56:56,I180518001,v1.0.1.0101.e_0518         
acuteag_dev_1.0.1,v1.0.1.0201.a,AcuteagSystemUI,platform,2018-05-18 18:56:56,I180518002,v1.0.1.0201.a_0518         
acuteag_dev_1.0.1,v1.0.1.0201.4,AcuteagSoundRecorder,platform,2018-05-18 20:50:33,I180518001,v1.0.1.0201.4_0518         
acuteag_dev_1.0.1,v1.0.1.0201.8,AcuteagDeskClock,platform,2018-05-19 15:26:42,I180519001,v1.0.1.0201.8_0519         
acuteag_dev_1.0.1,v1.0.1.0201.4,AcuteagCalculator,releasekey,2018-05-21 11:33:26,I180521001,v1.0.1.0201.4_0521         
acuteag_dev_1.0.1,v1.0.1.0201.2,AcuteagCalendarProvider,releasekey,2018-05-21 11:41:29,I180521001,v1.0.1.0201.2_0521         
