BranchName,ApkVersion,GitName,ResourceConfigs,SignMode,ApkAreaVersion,MileStone,TranslationLabel,ReleaseDate,VersionCode,VersionName,BranchInfo,UploadAota,OfficialRelease,GoldenRelease
acuteag_dev_1.0.1,v1.0.1.0101.8,AcuteagContacts,shared,2018-06-05 18:35:19,I180605001,v1.0.1.0101.8_0605         
acuteag_dev_1.0.1,v1.0.1.0201.3,AcuteagChrome,platform,2018-06-06 16:11:01,I180606003,v1.0.1.0201.3_0606         
acuteag_dev_1.0.1,v1.0.1.0101.4,AcuteagContactsProvider,shared,2018-06-07 14:43:41,I180607001,v1.0.1.0101.4_0607         
acuteag_dev_1.0.1,v1.0.1.0202.5,AcuteagSystemUI,platform,2018-06-07 16:02:12,I180607001,v1.0.1.0202.5_0607         
acuteag_dev_1.0.1,v1.0.1.0201.d,AcuteagSettings,platform,2018-06-07 16:41:34,I180607002,v1.0.1.0201.d_0607         
acuteag_dev_1.0.1,v1.0.1.0201.2,AcuteagWallet,acuteag3rd,2018-06-07 17:21:23,I180607001,V1.0.1.0201.2_0607         
acuteag_dev_1.0.1,v1.0.1.0101.b,AcuteagDialer,shared,2018-06-07 20:27:00,I180607001,v1.0.1.0101.b_0607         
acuteag_dev_1.0.1,v1.0.1.0201.3,AcuteagWallet,acuteag3rd,2018-06-08 09:58:21,I180608001,V1.0.1.0201.3_0608         
acuteag_dev_1.0.1,v1.0.1.0201.g,AcuteagMusic,platform,2018-06-08 16:50:19,I180608001,v1.0.1.0201.g_0608         
acuteag_dev_1.0.1,v1.0.1.0101.c,AcuteagDialer,shared,2018-06-08 17:02:07,I180608001,v1.0.1.0101.c_0608         
acuteag_dev_1.0.1,v1.0.1.0201.4,AcuteagWallet,acuteag3rd,2018-06-08 20:58:42,I180608002,V1.0.1.0201.4_0608         
acuteag_dev_1.0.1,v1.0.1.0201.e,AcuteagSettings,platform,2018-06-11 17:26:26,I180611001,v1.0.1.0201.e_0611         
acuteag_dev_1.0.1,v1.0.1.0101.l,AcuteagLauncher,shared,2018-06-11 17:26:57,I180611001,v1.0.1.0101.l_0611         
acuteag_dev_1.0.1,v1.0.1.0201.5,AcuteagWallet,acuteag3rd,2018-06-11 21:14:35,I180611001,V1.0.1.0201.5_0611         
acuteag_dev_1.0.1,v1.0.1.0101.1,AcuteagPowerManager,platform,2018-06-12 09:42:33,I180611002,v1.0.1.0101.1_0611         
acuteag_dev_1.0.1,v1.0.1.0101.m,AcuteagLauncher,platform,2018-06-14 09:59:53,I180614001,v1.0.1.0101.m_0614         
acuteag_dev_1.0.1,v1.0.1.0101.p,AcuteagLauncher,platform,2018-06-14 11:44:44,I180614004,v1.0.1.0101.p_0614         
acuteag_dev_1.0.1,v1.0.1.0101.7,AcuteagInCallUI,platform,2018-06-14 17:17:29,I180614010,v1.0.1.0101.7_0614         
acuteag_dev_1.0.1,v1.0.1.0101.1,AcuteagQuickSearchBox,shared,2018-06-14 17:29:22,I180614004,v1.0.1.0101.1_0614         
acuteag_dev_1.0.1,v1.0.1.0201.f,AcuteagSettings,platform,2018-06-15 19:29:42,I180615009,v1.0.1.0201.f_0615         
acuteag_dev_1.0.1,v1.0.1.0201.i,AcuteagGallery,shared,2018-06-19 17:26:51,I180619001,v1.0.1.0201.i_0619         
acuteag_dev_1.0.1,v1.0.1.0201.b,AcuteagDeskClock,platform,2018-06-19 17:39:35,I180619002,v1.0.1.0201.b_0619         
acuteag_dev_1.0.1,v1.0.1.0201.c,AcuteagDeskClock,platform,2018-06-19 18:54:54,I180619005,v1.0.1.0201.c_0619         
acuteag_dev_1.0.1,v1.0.1.0201.6,AcuteagWallet,acuteag3rd,2018-06-19 20:53:32,I180619001,V1.0.1.0201.6_0619         
acuteag_dev_1.0.1,v1.0.1.0201.5,AcuteagCalculator,releasekey,2018-06-20 10:36:21,I180620001,v1.0.1.0201.5_0620         
acuteag_dev_1.0.1,v1.0.1.0201.2,AcuteagDocumentsUI,platform,2018-06-20 11:02:32,I180620001,v1.0.1.0201.2_0620         
acuteag_dev_1.0.1,v1.0.1.0201.4,AcuteagDownloadProvider,media,2018-06-20 11:20:20,I180620001,v1.0.1.0201.4_0620         
acuteag_dev_1.0.1,v1.0.1.0201.5,AcuteagChrome,platform,2018-06-20 17:59:54,I180620003,v1.0.1.0201.5_0620         
acuteag_dev_1.0.1,v1.0.1.0201.3,AcuteagNote,platform,2018-06-20 19:47:08,I180620006,v1.0.1.0201.3_0620         
acuteag_dev_1.0.1,v1.0.1.0201.6,AcuteagChrome,platform,2018-06-21 11:03:18,I180621001,v1.0.1.0201.6_0621         
acuteag_dev_1.0.1,v1.0.1.0201.7,AcuteagWallet,acuteag3rd,2018-06-21 15:55:54,I180621001,V1.0.1.0201.7_0621         
acuteag_dev_1.0.1,v1.0.1.0201.7,AcuteagChrome,platform,2018-06-21 19:07:53,I180621001,v1.0.1.0201.7_0621         
acuteag_dev_1.0.1,v1.0.1.0101.q,AcuteagLauncher,platform,2018-06-22 09:57:10,I180622001,v1.0.1.0101.q_0622         
acuteag_dev_1.0.1,v1.0.1.0201.8,AcuteagWallet,acuteag3rd,2018-06-22 14:50:35,I180622001,V1.0.1.0201.8_0622         
acuteag_dev_1.0.1,v1.0.1.0201.9,AcuteagWallet,acuteag3rd,2018-06-22 16:32:17,I180622002,V1.0.1.0201.9_0622         
acuteag_dev_1.0.1,v1.0.1.0101.4,AcuteagStore,acuteag3rd,2018-06-22 18:50:33,I180622004,v1.0.1.0101.4_0622         
acuteag_dev_1.0.1,v1.0.1.0101.r,AcuteagLauncher,platform,2018-06-25 10:11:47,I180625001,v1.0.1.0101.r_0625         
acuteag_dev_1.0.1,v1.0.1.0201.8,AcuteagChrome,platform,2018-06-25 17:31:28,I180625001,v1.0.1.0201.8_0625         
acuteag_dev_1.0.1,v1.0.1.0201.a,AcuteagWallet,acuteag3rd,2018-06-26 16:54:56,I180626001,V1.0.1.0201.a_0626         
acuteag_dev_1.0.1,v1.0.1.0201.9,AcuteagChrome,platform,2018-07-06 19:07:37,I180706002,v1.0.1.0201.9_0706         
acuteag_dev_1.0.1,v1.0.1.0201.b,AcuteagWallet,acuteag3rd,2018-07-09 12:03:04,I180709003,V1.0.1.0201.b_0709         
acuteag_dev_1.0.1,v1.0.1.0101.5,AcuteagStore,acuteag3rd,2018-07-09 17:45:48,I180709001,v1.0.1.0101.5_0709         
acuteag_dev_1.0.1,v1.0.1.0201.c,AcuteagWallet,acuteag3rd,2018-07-09 22:00:20,I180709004,V1.0.1.0201.c_0709         
acuteag_dev_1.0.1,v1.0.1.0101.t,AcuteagLauncher,acuteag3rd,2018-07-10 14:56:15,I180710001,v1.0.1.0101.t_0710         
acuteag_dev_1.0.1,v1.0.1.0201.g,AcuteagSettings,platform,2018-07-10 18:02:40,I180710001,v1.0.1.0201.g_0710         
